conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89E+18,Thu Feb 27 23:58:09 +0000 2025,0,@yudhakhel Varian Indonesia Cerah di puncak kekuasaan sama yang dekat jabatan aja. Disertai narasi Jepang Gelap Indonesia akan maju dan narasi aneh lainnya wkwkwkw. #IndonesiaGelap,1.90E+18,,yudhakhel,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/iniwian/status/1895262175704556019,1.46E+18,iniwian
1.90E+18,Thu Feb 27 23:58:06 +0000 2025,0,Salah satu alasan #IndonesiaGelap ini lho https://t.co/GXEZ0nAjR7,1.90E+18,,,in,,0,0,0,https://x.com/Argadhahana/status/1895262160923828569,2568916987,Argadhahana
1.90E+18,Thu Feb 27 23:56:13 +0000 2025,9,FOTO BERSAMA PENUH KEMESRAAN ANTARA ..JOKOWI PRABOWO PUAN MAHARANI DAN SBY BERPAKAIAN SERAGAM LORENG. Sementara para Mahasiswa dan Rakyat sipil sibuk Aksi Demo #IndonesiaGelap. https://t.co/kCLuOmkvLo,1.90E+18,https://pbs.twimg.com/media/Gk1SdqpaoAIz_Nw.jpg,,in,"Jabodetabek, Indonesia",0,0,3,https://x.com/Andria75777/status/1895261690402611470,1.67E+18,Andria75777
1.90E+18,Thu Feb 27 23:55:16 +0000 2025,0,#IndonesiaGelap ini harus diviralkan sih. Jangan sampe org terlalu vokus sm Pertamina DANANTARA,1.90E+18,,,in,,0,0,0,https://x.com/allegrisaurus/status/1895261449267880107,98027574,allegrisaurus
1.90E+18,Thu Feb 27 23:54:25 +0000 2025,0,Spesifikasinya sama. Sama² bbm. Ron 88 di sulap jadi ron 92.. #pertamina #PertamaxOplosan #IndonesiaGelap https://t.co/Rr5KrdzSHW,1.90E+18,https://pbs.twimg.com/media/Gk1SDGXaoAAkdnC.jpg,,in,"Kalimantan Barat, Indonesia",0,1,0,https://x.com/Dara_Cega/status/1895261234276229250,1.48E+18,Dara_Cega
1.90E+18,Thu Feb 27 23:53:37 +0000 2025,0,Iyaaa looo.... Baku hantam deh kalian berdua Dah bener ini #IndonesiaGelap . Jangan ditiru ya... Selamat pagi Salam jumat sehat untuk semua para pejuang keluarga. ,1.90E+18,,,in,Jakarta Capital Region,0,0,1,https://x.com/AnditaZella/status/1895261032668602879,1.64E+18,AnditaZella
1.90E+18,Thu Feb 27 23:53:03 +0000 2025,4,@TirtoID waktu jadi walikota oslo DRS pindah ke Jkt jadi IR aja ydah aneh sih menurut saya. Ini bukan soal teliti dan tidak teliti. Tapi pembiaran yg dilakukan @KPU_ID menbuat #IndonesiaGelap,1.90E+18,,TirtoID,in,,0,0,0,https://x.com/pedang_malammm/status/1895260889911304307,1.75E+18,pedang_malammm
1.90E+18,Thu Feb 27 23:53:00 +0000 2025,849,Korupsi di PT Angkutan Sungai Danau dan Penyebrangan Ferry Indonesia/ASDP @asdp191 mencapai 1 27 T. Korupsilah selagi sempat. Hidup Jokowi.....Hidup Jokowi #IndonesiaGelap https://t.co/XljDPESXkg,1.90E+18,https://pbs.twimg.com/ext_tw_video_thumb/1895260831325306880/pu/img/gc63jXWFW4cPx-NN.jpg,,in,Indonesia,13,50,442,https://x.com/yaniarsim/status/1895260879949832564,9.29E+17,yaniarsim
1.90E+18,Thu Feb 27 23:52:45 +0000 2025,0,@tempodotco Bacod kades koho kemarin yg presiden aja ga berani nangkap maksudnya bukan dia tapi bohirnya yg presiden ga brani masak pesan sprti itu pada ga ngerti??? Dan terbukti padabga berani ;( #IndonesiaGelap,1.90E+18,,tempodotco,in,universe,0,0,0,https://x.com/riefb79/status/1895260815579885653,2173331119,riefb79
1.89E+18,Thu Feb 27 23:52:29 +0000 2025,0,@Metro_TV Weleeeh... Jaksa bilang bgini ni niiiy... Dewan bilang bgicuuu cuu cuuu.. Hayo saling oplos Rakyat nonton pajaknya mbayar dagelan tok.. @KejaksaanRI ditantang tuh #hukumletoy #IndonesiaGelap,1.90E+18,,Metro_TV,in,,0,0,0,https://x.com/hapsarini_ismoe/status/1895260750408716537,1547896093,hapsarini_ismoe
