Source,Target,Weight
25,26,3
26,521,2
28,10,1
29,29,1
29,29,3
30,1494,1
31,1945,1
33,1740,1
35,334,1
37,560,3
32,2006,1
38,596,1
39,26,2
39,1436,2
41,2098,2
42,1278,2
45,111,1
44,2115,1
46,2178,19
46,1184,10
46,1076,7
46,1444,5
47,1764,1
48,1496,1
49,607,1
50,50,2
52,459,1
55,1830,2
58,404,1
59,387,2
61,1114,1
61,282,3
61,1705,1
61,1444,1
86,234,1
107,1468,4
114,1444,3
114,1345,1
114,1444,2
114,1496,1
114,431,3
114,1633,1
114,282,4
116,1867,365
239,239,2
244,747,1
265,1220,11
295,1444,1
301,535,1
301,593,1
301,1145,1
60,1221,1
60,1183,1
60,259,1
60,535,1
60,1051,1
60,2115,1
60,1522,1
60,782,1
60,267,3
60,298,1
60,168,1
63,56,9
67,440,2
68,1508,1
73,73,2
74,398,1
79,600,1
79,2288,6
79,600,2
80,1418,1
81,1526,2
82,549,2
91,3,3
91,91,2
91,91,2
91,370,7
90,1163,5
92,851,1
97,2235,1
97,358,1
97,1013,1
97,164,1
98,1522,1
99,440,2
105,1248,1
109,1522,1
109,1609,3
113,358,1
120,121,8
122,440,1
123,123,1
127,1967,2
127,276,3
128,387,2
128,1137,1
135,1348,7
136,1715,9
143,2099,4
153,1699,1
153,1522,6
153,168,2
155,1987,2
158,590,1
158,0,3
161,616,2
161,1800,2
161,657,3
161,593,3
161,616,2
163,1920,2
163,500,1
163,1254,2
168,1348,10
168,135,8
170,219,1
169,2256,1
175,1778,4
176,2115,1
176,851,1
176,1812,2
176,2115,1
177,1076,1
177,1231,2
187,245,1
200,25,1
202,1220,1
205,1392,1
209,535,1
210,1494,1
210,982,1
212,2050,4
218,212,1
225,17,2
231,1394,2
235,593,1
237,1060,1
242,358,1
247,459,3
256,431,3
256,590,4
256,2134,3
256,1444,7
256,1114,1
257,1162,1
257,1460,1
257,2306,1
258,1385,1
264,1608,1
272,2302,1
273,5,4
273,387,3
280,280,1
291,1608,2
291,2139,1
291,600,1
291,1448,1
291,965,1
291,1448,1
291,2347,1
291,2356,1
291,382,2
291,1820,1
291,600,1
291,1220,1
291,2347,1
291,190,1
291,1220,1
291,1162,2
291,2007,1
291,19,1
291,1460,1
291,593,1
291,1220,1
291,1220,1
291,261,3
291,2151,1
291,249,2
291,2151,3
291,881,3
291,535,2
291,374,1
291,1522,1
291,730,1
292,730,1
292,1715,1
292,1367,1
304,1348,3
305,1186,1
305,807,1
305,1553,3
310,1699,1
311,1646,2
312,1358,6
312,1221,1
312,27,1
312,1399,1
312,1183,1
312,1768,2
312,1410,1
312,1522,1
312,536,3
312,593,3
314,596,14
319,2099,1
330,2115,4
351,1941,57
370,370,3
368,547,3
325,1130,3
333,1779,1
340,1220,1
341,1067,2
343,1610,8
347,1639,1
349,2099,1
355,1221,1
355,1355,1
355,2112,2
357,941,8
357,1779,3
361,281,46
364,1798,1
365,203,2
372,372,3
374,1277,2
379,593,2
388,2235,1
399,660,1
402,345,13
402,431,2
402,961,3
402,1522,2
403,1522,11
403,374,1
403,1608,2
403,1608,2
403,2188,1
403,1573,1
403,2143,1
403,593,2
403,1444,6
403,431,3
403,1444,2
403,2337,3
403,851,2
403,593,2
403,164,1
403,1522,2
403,1608,2
403,2337,1
403,593,1
403,851,2
412,459,1
424,892,7
424,324,4
427,2163,1
435,2337,3
435,174,1
439,2162,1
450,450,2
449,1183,1
455,2095,2
455,358,1
458,2103,3
458,1385,1
458,2157,5
458,1523,1
458,2096,2
458,2099,3
458,1385,1
458,459,1
458,1799,1
458,431,2
458,593,2
458,1522,5
458,77,1
458,440,3
458,1856,3
458,2337,3
458,387,1
458,760,1
462,852,1
462,730,1
462,600,1
462,2002,1
463,181,2
460,1522,1
460,1526,3
460,1220,1
460,2188,3
466,1385,1
466,1348,1
471,1220,1
473,664,1
473,2065,1
473,276,1
473,536,6
474,807,1
475,2003,2
475,1228,3
549,417,2
549,1940,1
480,2285,2
485,276,1
486,470,1
487,2282,2
492,1407,3
491,440,3
491,2096,2
493,149,1
503,596,1
506,500,1
516,657,1
515,417,2
520,1220,5
520,1220,1
520,600,1
520,358,2
520,2199,2
520,1705,2
